Word,Count
compare,18
W,18
Builds,18
approximation,18
transforms,18
larger,18
restore,18
approximately,18
\name="\vector"\>A\,18
direction,18
calculate,18
Vector.</param>,18
component.</param>,18
\name="\matrix"\>A\,18
unit-length,18
translation,18
Multiply,17
pointer,17
equality,17
start,17
Indicates,17
\name="\right"\>Second\,16
multiplication.</param>,16
z]</param>,16
\name="\left"\>First\,16
(camera),16
\0.0f,\,16
eye)</param>,16
environments,16
returned,16
target,16
A,16
Represents,16
(should,16
parallel,16
taking,16
\direction,\,16
all,15
number,15
does,15
can,15
between,15
equal;,15
which,15
x-axis,14
list,14
Add,14
\name="\blend"\>The\,14
\name="\max"\>Maximum\,14
\name="\min"\>Minimum\,14
value.</param>,14
Clamp,14
(in,14
Use,14
third,14
following,14
matrix</param>,14
\cos,\,14
right;,14
clamped,14
perspective,14
Convert,13
part,13
multiplication</returns>,13
normal,13
have,13
b.</returns>,13
bounding,13
Quaternion,13
\1,\,13
on,13
zero,13
\name="\a"\>a.</param>\,12
Coordinate</param>,12
\name="\u"\>First\,12
\name="\b"\>b.</param>\,12
individual,12
box,12
subtraction</param>,12
c,12
\name="\b"\>Right\,12
transpose,12
\name="\c"\>Third\,12
division,12
left-handed,12
subtraction,12
blend=1.</param>,12
\otherwise,\,12
Coordinate.</param>,12
\u=1,v=0,\,12
translation.</param>,12
\cref="\LengthSquared"\\,12
After,12
suitable,12
\name="\a"\>Left\,12
\<returns>True,\,12
\name="\vec"\>Input\,12
die,12
space</returns>,12
Z,12
Subtracts,12
w,12
transform.</param>,12
\u=0,v=1,\,12
\u=v=0,\,12
0.0f);,12
by.</param>,12
components.</param>,12
\name="\quat"\>The\,12
4,12
y-axis,12
\name="\v"\>Second\,12
\eye),\,12
\name="\q"\>The\,12
\a,b,c\,12
otherwise</param>,12
\blend=1,\,12
layout,11
inequality,11
\2,\,11
segment,11
converting,11
multiplication</param>,11
\3,\,11
floats,11
convert,11
representing,11
both,11
matrix</returns>,11
Assembly,11
you,11
Pi,11
Array,11
coordinates,11
Interpolate,11
System.String,11
doubles,11
affine,10
element,10
\cref="\Length"\\,10
{,10
fourth,10
\cref="\LengthFast"\\,10
\name="\zNear"\>The\,10
\type="\bullet"\>\,10
NonReadonlyFieldInGetHashCode,10
\x,\,10
\cref="\System.ArgumentOutOfRangeException"\>\,10
</exception>,10
result.Row3,10
Thrown,10
zFar</item>,10
\polyline,\,10
already,10
existing,10
conjugate,10
conditions:,10
vertices,10
bottom,10
\name="\zFar"\>The\,10
right-handed,10
<item>zFar,10
public,10
\name="\zFar"\>Distance\,10
\cref="\float4"\/>\,10
Sie,10
under,10
\name="\zNear"\>Distance\,10
where,10
equals,10
<exception,10
</list>,10
magnitude,10
<returns>True,10
raster,10
double4x4,10
source,10
static,10
orthographic,10
\cref="\double4"\/>\,10
<list,10
16,9
(the,9
var,9
holds,9
power,9
System.Int32,9
True,9
(Postmultiplication,9
\name="\left"\>left-hand\,9
unique,9
Converter,9
\name="\other"\>A\,9
<returns>Result,9
\name="\right"\>right-hand\,9
vector*matrix,9
destination,9
false.</returns>,9
other,9
(Premultiplication,9
i,9
object</returns>,9
matrix*vector,9
\name="\obj"\>The\,9
last,9
Copys,9
parameter;,9
CurveSegment,9
set,9
\cref="\Fusee.Math.Core.float3"\/>\,8
\[m11,\,8
z]</returns>,8
Normal,8
z-values,8
component</param>,8
(like,8
also,8
objects,8
dividing,8
represent,8
z),8
into,8
für,8
\name="\axis"\>The\,8
(e.g,8
bound,8
\cref="\Fusee.Math.Core.double3"\/>\,8
way,8
OpenGL),8
\cref="\float4x4"\/>\,8
Before,8
\X,\,8
error,8
\cref="\Fusee.Math.Core.double4x4"\/>\,8
size,8
\name="\pDst"\>A\,8
\cref="\double4x4"\/>\,8
inputs</param>,8
string,8
ability,8
\Y,\,8
storage,8
cross,8
(perspective,8
upper,8
viewing,8
vertex,8
radians),8
perpendicular,8
\4,\,8
extended,8
type,8
Get,8
e.g,8
\cref="\Fusee.Math.Core.double4"\/>\,8
next,8
...].</returns>,8
(scalar),8
Has,8
\name="\pValue"\>A\,8
\name="\norm"\>The\,8
further,8
parse,8
z-axis,8
has,8
methods,8
\cref="\System.Single"\/>\,8
operation.</returns>,8
version,8
away,8
\cref="\Fusee.Math.Core.float4"\/>\,8
setting,8
DirectX),8
transformation,8
division),8
\m12,\,7
segments,7
four,7
operator,7
quaternion</param>,7
\cref="\float3"\/>\,7
4x4,7
radians,7
stored,7
number.</param>,7
\cref="\double3"\/>\,7
CurvePart,7
},7
inputs,7
\m21,\,7
1);,7
to.</param>,7
==,7
\m31,\,7
1));,7
int,7
<returns>true,7
\m13,\,7
QuaternionD</param>,7
t,7
numbers,7
8,6
uses,6
interoperation,6
aligned,6
bytes,6
0.001,6
Length,6
end,6
function,6
\name="\result"\>a\,6
structure,6
\zero,\,6
//,6
SizeInBytes,6
\name="\b"\>The\,6
scale.</param>,6
precision),6
result.Row2,6
Beziér,6
\name="\x"\>The\,6
\name="\top"\>The\,6
</para>,6
\name="\result"\>Output\,6
\name="\w"\>The\,6
<returns>Returns,6
degrees,6
substraction.</param>,6
Negates,6
\name="\z"\>Z\,6
<para>,6
TODO:,6
\name="\top"\>Top\,6
bigger,6
\name="\y"\>The\,6
result.Row1,6
auf,6
required,6
readonly,6
division</param>,6
transpose</param>,6
vector.</returns>,6
result.Row0,6
comparisons,6
sign,6
v),6
maximum</param>,6
\name="\zFar"\>zFar</param>\,6
\name="\vector"\>The\,6
meaning,6
representation,6
consecutive,6
cast,6
will,6
systems,6
zero-length,6
string.</returns>,6
\name="\sy"\>The\,6
back,6
Marshal.SizeOf(new,6
elements,6
requiring,6
calculates,6
For,6
starting,6
single,6
minimum</param>,6
UnusedMember.Local,6
\True,\,6
floating-point,6
makes,6
more,6
\magnitude,\,6
\name="\zNear"\>zNear</param>\,6
costly,6
never,6
found,6
ignored,6
(cofactors),6
\name="\bottom"\>The\,6
avoids,6
unmanaged,6
\name="\n"\>The\,6
addition.</param>,6
\name="\x"\>X\,6
\0f,\,6
top,6
Note,6
\name="\y"\>Y\,6
multiplied,6
struct,6
Cinema,6
amounts,6
\name="\bottom"\>Bottom\,6
\name="\sx"\>The\,6
calculation.</param>,6
may,5
\M22,\,5
matrix.</returns>,5
squared,5
height,5
double4.</param>,5
\M12,\,5
unsafe,5
red,5
\M13,\,5
verts,5
\cref="\System.String"\\,5
true,5
random,5
Intermediate,5
path,5
divided,5
\M21,\,5
each,5
Matrix44,5
fast,5
green,5
-1,5
float4.</param>,5
point</param>,5
addition,5
\b,\,5
\name="\a"\>The\,5
angles,5
0,5
y),5
transposed,5
x),5
calculated,5
identity,5
determinant,5
transform,4
invert</param>,4
comparison.</param>,4
just,4
two.</returns>,4
point.</param>,4
Direct3D,4
\name="\y"\>y</param>\,4
\BOTH,\,4
Construct,4
hash,4
mapping,4
\name="\targetX"\>Target\,4
-(zFar,4
\y.x,\,4
sequence,4
<returns>An,4
(width,4
v.</returns>,4
underlying,4
applied,4
QuaternionDs,4
threedimensional,4
result.M43,4
Given,4
implementation,4
\linear,\,4
\name="\height"\>The\,4
\Matrix,\,4
\z.z,\,4
\name="\startPoint"\>The\,4
project,4
normalize</param>,4
\handed"\\,4
cubic</param>,4
\dimension,\,4
discarded.</param>,4
\name="\first"\>The\,4
offset,4
increasing,4
widely,4
Informationen,4
then,4
vertices[i],4
result.M33,4
\name="\eyeX"\>Eye\,4
t*axis.x*axis.y,4
assumes,4
vector</returns>,4
axis).</param>,4
called,4
v,4
know,4
curve:,4
vec),4
adaptively,4
about.</param>,4
blue,4
cube,4
werden,4
CurveSgment,4
(as,4
\name="\targetY"\>Target\,4
value</param>,4
interprets,4
\name="\second"\>The\,4
equa,4
exchanging,4
axis-angle,4
field,4
result.M44,4
If,4
result.M22,4
side,4
ww,4
\name="\width"\>The\,4
\sin*axis.z,\,4
(max,4
own,4
up,4
the),4
contains,4
normal</param>,4
eine,4
\cref="\float4"\\,4
rendering,4
\z.y,\,4
t*axis.x*axis.z,4
positions,4
belonging,4
\name="\eye"\>Eye\,4
\name="\pos"\>The\,4
invert.</param>,4
result.M41,4
axes</param>,4
frustum),4
curve</param>,4
\name="\upY"\>Up\,4
<summary>Indicates,4
net,4
\conic,\,4
z-value,4
\name="\sz"\>The\,4
<item>fovy,4
converted,4
\M14,\,4
\(0,0,0,1),\,4
explicit,4
\name="\angle"\>Angle\,4
über,4
leftmost,4
\name="\upX"\>Up\,4
\y.z,\,4
height)</param>,4
von,4
\c,\,4
Position,4
returns,4
\name="\fovy"\>fovy</param>\,4
platform,4
t*axis.y*axis.z,4
vec,4
M34,4
\sin,\,4
\name="\other"\>The\,4
\name="\up"\>Up\,4
kept,4
Caclulate,4
\z.x,\,4
In,4
\name="\result"\>result</param>\,4
create,4
M2,4
Typ,4
(ranging,4
invFN;,4
M24,4
exporting,4
volume,4
\sin*axis.x,\,4
1],4
constant,4
avoid,4
\do),\,4
\name="\x"\>x</param>\,4
locations,4
Array),4
OpenGL,4
result.M11,4
\name="\upZ"\>Up\,4
invTB;,4
do,4
\name="\eyeZ"\>Eye\,4
\name="\targetZ"\>Target\,4
ratio,4
CurveSegent[i-1]s',4
\name="\invMat"\>The\,4
radians)</param>,4
ToArray[]ColOrder,4
value.</returns>,4
\name="\quaternionD"\>The\,4
use,4
part</param>,4
\x,y\,4
vertices[i,4
(transpose,4
\name="\aspect"\>aspect</param>\,4
1;,4
index,4
\y.y,\,4
less,4
COM,4
6,4
\name="\eyeY"\>Eye\,4
\name="\fovy"\>Angle\,4
0);,4
flipped,4
<remarks>Generates,4
convenience,4
instance.</summary>,4
axis/angle,4
\-sin,\,4
AND,4
control,4
\d,\,4
shaped,4
\cross(quat.xyz,\,4
-(top,4
notation:,4
z-coordinates,4
\matrix,\,4
doesn't,4
Assumes,4
(vector),4
extra,4
created,4
TransformNormalInverse,4
contents,4
\name="\target"\>Target\,4
<item>aspect,4
\name="\aspect"\>Aspect\,4
float4x4(new,4
Rounds,4
\name="\z"\>z</param>\,4
quaternions,4
\name="\quaternion"\>The\,4
digits,4
lright;,4
result.M42,4
Math.PI</item>,4
bits,4
indicate,4
width,4
ToArray[]RowOrder,4
Handed,4
\curve,\,4
Left,4
saved,4
per,4
hand,4
\sin*axis.y,\,4
folgenden,4
shader,4
invRL;,4
\coordinates,\,4
\name="\z"\>The\,4
common,4
system.</remarks>,4
\name="\degree"\>The\,4
frustum,4
\a,\,4
-(right,4
degree,4
(looking,4
before,4
resultant,4
dieser,4
\name="\vec"\>Left\,4
\cref="\Fusee.Math.Core.float4x4"\/>\,4
construction,4
Newton-Raphson,4
,4
lerp,3
\mat.M33,\,3
combine</param>,3
mat.M34);,3
val1,3
Euler,3
might,3
val3,3
\M23,\,3
\m34,\,3
slerp,3
\mat.M31,\,3
mat.M24,3
arcreage,3
euler,3
\name="\angle"\>Determines\,3
QuaternionD</returns>,3
vert,3
big,3
maximal,3
proper,3
\CurvePart,\,3
float4.UnitW;,3
m33],3
arithmetics,3
\[0,\,3
\"\offset"\\,3
\name="\m12"\>Third\,3
uniform,3
it's,3
\m23,\,3
\M31,\,3
oriented),3
OpenTK.float2,3
halfAngle,3
(=,3
\name="\m10"\>First\,3
\name="\m20"\>First\,3
\[m14,\,3
internally,3
awkward,3
\"\projection\,3
somewhat,3
curves,3
described,3
\name="\m22"\>Third\,3
mat.M14,3
tresult.</param>,3
\name="\m00"\>First\,3
\part"\\,3
\rows,\,3
2nd,3
\mat.M22,\,3
\name="\arcreage"\>Determines\,3
\name="\val"\>The\,3
substraction.</returns>,3
calculation</param>,3
Top,3
\m11,\,3
E,3
\M32,\,3
cast.</param>,3
\mat.M23,\,3
\StartPoint,\,3
small,3
\Anyway,\,3
out,3
substraction,3
CurveSegment[i-1]s',3
\m24,\,3
Provides,3
\length"\);\,3
vary,3
\m22,\,3
\name="\row0"\>Top\,3
12,3
tringale,3
loop,3
but,3
\name="\m21"\>Second\,3
(i,3
how,3
\m32,\,3
(although,3
double3.</param>,3
double4x4(new,3
float3.</param>,3
sp,3
\name="\row1"\>Second\,3
val2,3
Substracts,3
xy,3
\cref="\LengthFast"\/>\,3
\mat.M32,\,3
\cref="\LengthSquared"\/>\,3
quaternion</returns>,3
\name="\m02"\>Third\,3
beziér,3
};,3
\mat.M21,\,3
single-precision,3
C4D,3
transformation;,3
rather,3
double4.UnitW;,3
CurveSegment),3
\name="\m01"\>Second\,3
\name="\m11"\>Second\,3
3rd,3
addition.</returns>,3
columns,3
Explicit,3
matrix.</summary>,3
radians</param>,3
double-precision,3
\M11,\,3
\name="\row2"\>Third\,3
really,2
(-PI,2
<summary>Add,2
\name="\result"\>Translation\,2
tranformation,2
\float4(x.z,\,2
quat^-1,2
\left.M13*right.M32,\,2
zu,2
\name="\sw"\>The\,2
+=degree),2
Werten:,2
XOR,2
sure,2
types,2
diesen,2
euclideanspace,2
quat.ww,2
\double4(x.y,\,2
\name="\y"\>Scale\,2
\name="\t"\>Beziér\,2
\name="\row3"\>Bottom\,2
left.M41*right.M13,2
singular.</returns>,2
\float4(mat.M13,\,2
Spherical,2
typically,2
OpenTK.float3,2
left.M43*right.M31,2
\"\true"\\,2
III,2
\float4(x.x,\,2
ComputerGraphics,2
step,2
Nebenversion,2
Projekt,2
history,2
physically,2
\name="\m03"\>Fourth\,2
consists,2
\name="\target"\>target</param>\,2
M1),2
zNear)*invFN;,2
t*axis.y*axis.y,2
epsilon,2
wird,2
Graphics,2
gemacht,2
\name="\eye"\>eye</param>\,2
smooth,2
versions,2
members.</returns>,2
\name="\ww"\>The\,2
application,2
smaller,2
\M24),\,2
[CLSCompliant(false)],2
left.M41*right.M12,2
segment</param>,2
factor</param>,2
factors,2
\href="\http://www.euclideanspace.com/maths/geometry/rotations/conversions/eulerToQuaternion/index.htm"\>the\,2
left.M11*right.M12,2
above.</returns>,2
When,2
\"\*"\\,2
verknüpft,2
additional,2
\memory,\,2
subtraction</returns>,2
\"\left\,2
\name="\subdiv"\>The\,2
\double4x4(x,\,2
\,\,2
\method,\,2
\left.M33*right.M33,\,2
otherwise</returns>,2
optimize,2
bestehen,2
algorithms,2
incl,2
dimensions,2
API,2
\[-PI,\,2
left-handedness,2
180°.</param>,2
like,2
PI],2
bottom)*invTB;,2
\M41,\,2
matrix-vector-multiplication,2
(M3,2
\(M21,\,2
polynominals,2
unsichtbar,2
angle</param>,2
left.M22*right.M21,2
indem,2
addition</returns>,2
means,2
alpha,2
\float4(cos,\,2
\val3,\,2
about,2
(IntPtr)(&v.x);,2
commonly,2
M3,2
we,2
needs,2
left.M32*right.M23,2
Probably,2
z-translation),2
\double4(x.z,\,2
website</a>,2
mat.M32*mat.M42,2
Allgemeine,2
Stelle,2
Typen,2
rgb,2
closed,2
2*invRL;,2
\right.M42,\,2
LookAt,2
left.M22*right.M23,2
adds,2
mat.M22*mat.M42,2
reversed,2
mat.M23*mat.M43);,2
der,2
assumed,2
Not,2
practice,2
und,2
requires,2
xyz),2
\scenarios,\,2
\cref="\float4x4"\\,2
known,2
Computer,2
\x,y,z\,2
xy),2
xhalf,2
zz,2
\default,\,2
\name="\d4"\>The\,2
\-double3.Dot(y,\,2
OpenTK.double2,2
Revisionsnummern,2
Fix,2
\-1,\,2
sind,2
Angle,2
\Direct3D),\,2
open,2
aviation,2
COM-Komponenten,2
interpolation,2
physical,2
\(M11,\,2
\name="\m31"\>Second\,2
-(mat.M31*mat.M41,2
without,2
\y-translation,\,2
\left.M33*right.M31,\,2
dieses,2
\number,\,2
\name="\yy"\>The\,2
folgende,2
left.M21*right.M12,2
postfixed,2
logarithm,2
mat.M12*mat.M42,2
\-float3.Dot(z,\,2
engines,2
\name="\scale"\>Single\,2
assume,2
\name="\xx"\>The\,2
\vector.y,\,2
\z,\,2
Wenn,2
Make,2
left.M12*right.M22,2
\"\right\,2
\name="\m30"\>Fourth\,2
left)*invRL;,2
along,2
about</param>,2
double2.</param>,2
Do,2
vectors.</param>,2
left.M11*right.M13,2
Right,2
-(mat.M11*mat.M41,2
Hauptversion,2
comes,2
legen,2
eingeben:,2
\left.M23*right.M33,\,2
left.M21*right.M13,2
angle.</param>,2
machine,2
z.</param>,2
left.M31*right.M13,2
\name="\right"\>right</param>\,2
role,2
same,2
\left.M33*right.M32,\,2
\name="\up"\>up</param>\,2
\M43,\,2
\double4(-double3.Dot(x,\,2
??,2
objects',2
alle,2
formed,2
make,2
\name="\top"\>top</param>\,2
file,2
Build-,2
libraries,2
left.M31*right.M12,2
-2*invFN;,2
homogeneus,2
left.M43*right.M32,2
gesteuert,2
fest,2
Manually,2
das,2
finally,2
graphics,2
flatness,2
\float4(mat.M12,\,2
these,2
einer,2
PI.</returns>,2
0.001</returns>,2
performig,2
bitwise,2
\Console.WriteLine("\q1\,2
data,2
left.M32*right.M22,2
\name="\result"\>Angle\,2
improved,2
xx,2
\name="\m13"\>Fourth\,2
Quake,2
\name="\m33"\>Fourth\,2
Swaps,2
2*invTB;,2
\name="\segmentsPerCurve"\>The\,2
values</param>,2
add,2
w),2
y-axis</param>,2
Bottom,2
\name="\m32"\>Third\,2
minimize.</param>,2
\x-translation,\,2
\left.M13*right.M31,\,2
example,2
x;,2
left.M43*right.M33,2
\name="\scale"\>Left\,2
here,2
<returns>a,2
(componentwise),2
functions,2
Thus,2
parameter.</summary>,2
interval,2
Curve,2
keep,2
left.M21*right.M11,2
from</param>,2
\positive,\,2
negation,2
left.M31*right.M11,2
integer,2
Perform,2
\M33,\,2
\name="\zz"\>The\,2
line,2
range,2
Read,2
können,2
\float4(0.0f,\,2
De,2
2D,2
Matrix</summary>,2
guess,2
t*axis.z*axis.z,2
mit,2
so,2
\M14),\,2
verfügbar,2
CurveSegments,2
float[],2
left.M42*right.M21,2
C#,2
\handedness-agnostic,\,2
(M,2
http://www.beyond3d.com/content/articles/8/,2
See,2
\float4(mat.M11,\,2
\name="\inDegrees"\>Whether\,2
(YAW/HEADING),2
equal.</returns>,2
limited,2
Combines,2
weighted,2
\left.M23*right.M32,\,2
thet,2
confusing,2
left),2
should,2
arbitrary,2
wenn,2
\column-vector-notation,\,2
average,2
instead,2
making,2
\float4(x.y,\,2
GUID,2
Werte,2
Sin,2
float2x2,2
<summary>Scales,2
\ROW-major-ORDER,\,2
\name="\val"\>Input\,2
\name="\z"\>Scale\,2
standardmäßigen,2
+PI],2
transformations,2
\ändern,\,2
subdivisions,2
plays,2
\M24,\,2
too,2
problem:,2
union,2
zugreifen,2
den,2
\system,\,2
\double4(x.x,\,2
\[-PI/2,\,2
axis</param>,2
\name="\q2"\>The\,2
z-axis</param>,2
\"\\,2
rg,2
lie,2
Durch,2
COLUMN-vector-NOTATION,2
\M34,\,2
oder,2
quat,2
<a,2
<paramref,2
<remarks>The,2
either,2
\name="\vertices"\>All\,2
rightmost,2
Die,2
\vector.z,\,2
although,2
(M14,2
\cref="\Length"\/>\,2
\float4x4(x,\,2
PI/2],2
\right.M41,\,2
necessary,2
\(OpenGL,\,2
left.M22*right.M22,2
occurs,2
Buildnummer,2
\last,\,2
scalar.</summary>,2
Casteljaus,2
setter,2
No,2
Angles,2
\Typbibliothek,\,2
notation),2
Concatenations,2
zNear),2
<summary>Subtract,2
aus,2
algorithm,2
left.M12*right.M21,2
physics,2
DEPRECATED!!!,2
\Console.WriteLine("\cosHalfAngle\,2
&v.x;,2
\"\RH"\\,2
Carmack's,2
\both,\,2
\Attributwerte,\,2
Since,2
see,2
\name="\q"\>Quaternion\,2
Ändern,2
ID,2
due,2
\left.M23*right.M31,\,2
Revision,2
left.M11*right.M11,2
left.M42*right.M23,2
\übernehmen,\,2
<returns>Matrix</returns>,2
\name="\left"\>left</param>\,2
\name="\m23"\>First\,2
\double4(0.0f,\,2
maintain,2
<typeparam,2
initial,2
ComVisible-Attribut,2
Otherwise,2
left.M12*right.M23,2
etc,2
hold,2
\name="\angle"\>the\,2
contiguously,2
yy,2
any,2
Curves,2
2.0,2
order:,2
\name="\vec"\>Right\,2
positive,2
\float4(-float3.Dot(x,\,2
M44,2
diese,2
angeben,2
<summary>Transform,2
\-double3.Dot(z,\,2
ComVisible,2
itself,2
[assembly:,2
\M42,\,2
Attribute,2
\engines,\,2
\books,\,2
vec.w,2
Versionsinformationen,2
Sample,2
x-axis</param>,2
float2.</param>,2
bottom),2
build,2
(Column3,2
roll/bank,2
w-axis,2
\name="\d4x4"\>The\,2
mat.M13*mat.M43);,2
\"\�"\);\,2
addition</param>,2
Takes,2
\name="\scale"\>Scale\,2
\yaw/heading,\,2
\name="\x"\>Scale\,2
\name="\bottom"\>bottom</param>\,2
-->,2
\formats,\,2
angle:,2
http://www.codemaestro.com/reviews/review00000105.html,2
ABGR,2
\müssen,\,2
pairs,2
Most,2
Wrap-around,2
position</param>,2
follows:,2
Quaternion.</returns>,2
um,2
\pitch/attitude,\,2
rounded,2
vier,2
By,2
\double4(cos,\,2
creating,2
\name="\vec"\>Operand.</param>\,2
calculations,2
\AssemblyVersion("\1.0.*"\)]\,2
precision,2
left.M32*right.M21,2
\left.M13*right.M33,\,2
Projection,2
1f);,2
sine,2
boxes,2
method,2
1-norm,2
wheras,2
\name="\q1"\>The\,2
\name="\d3"\>The\,2
\"\false"\\,2
mat.M33*mat.M43);,2
\right.M43,\,2
\name="\x"\>A\,2
\-float3.Dot(y,\,2
while,2
test,2
expressed,2
einen,2
-(mat.M21*mat.M41,2
\val2,\,2
bestimmt,2
left.M41*right.M11,2
well,2
left.M42*right.M22,2
Festlegen,2
\one,\,2
algebraic,2
\M1,\,2
1]</param>,2
\name="\radians"\>An\,1
rotation.</returns>,1
normalize,1
(single,1
TODO,1
<returns>n,1
improve,1
round.</param>,1
FromMatrix,1
orthonormalized,1
factorial,1
\double4(-sin,\,1
System.Converter,1
\name="\e"\>Euler\,1
double4());,1
(n,1
\double4(mat.M11,\,1
IntPtr(float4,1
\Console.WriteLine("\q2\,1
double4x4(t*axis.x*axis.x,1
Orthoes,1
<summary>Calculates,1
double4x4's,1
\x,y,z,w\,1
representet,1
-(mat.M13,1
errors,1
\name="\curves"\>The\,1
structures,1
<summary>Represents,1
\double4(sin,\,1
cubic,1
double2());,1
\list,\,1
multiplies,1
newly,1
\1]"\);\,1
\float4(-sin,\,1
done,1
\name="\a"\>Absolut\,1
OpenTK.double3,1
normal.</param>,1
M33,1
above.</param>,1
\with,\,1
InvertAffine(mat);,1
-(mat.M11,1
(Int64),1
\float4(val1,\,1
base-2,1
k.</param>,1
coefficient,1
maximum</returns>,1
quaternion.</returns>,1
\name="\b"\>A\,1
<,1
input.</param>,1
direction.</param>,1
double4.UnitW);,1
lower,1
x);,1
mat.M22,1
\name="\min_"\>the\,1
Formula,1
positiv/negativ,1
double4.UnitY;,1
degrees</param>,1
outside,1
row),1
\cref="\float"\/>\,1
<summary>Multiply,1
\float4(vector.x,\,1
\double4(mat.M13,\,1
causing,1
input.</typeparam>,1
twelve,1
mat.M23,1
Applies,1
coordinates</summary>,1
<summary>Divide,1
\name="\box"\>the\,1
broken,1
look,1
mathematical,1
\name="\degrees"\>An\,1
boxes</returns>,1
axes,1
to\from,1
above,1
MathHelper.RadiansToDegrees((float)System.Math.Acos(cosHalfAngle)),1
mat.M21,1
\Console.WriteLine("\Simple\,1
0x5f375a86,1
\name="\k"\/>\,1
Cosine,1
InvertAffine,1
cobtains,1
\double4(mat.M12,\,1
orientation.</returns>,1
float4.UnitZ;,1
depth,1
xyz,1
half,1
output.</typeparam>,1
point),1
tangent,1
since,1
\name="\upDirection"\>Up\,1
gets,1
double[],1
tangent.</param>,1
double3());,1
float4.UnitX;,1
eight,1
0.5f,1
\val3),\,1
center,1
Slerp,1
least,1
\name="\TOutput"\>The\,1
\val2),\,1
box.</returns>,1
\float4(x,\,1
careful,1
transforming,1
positiv,1
n.</param>,1
six,1
fix,1
k)!)</returns>,1
\name="\rightCurve"\>The\,1
portable,1
Enables,1
\name="\m"\>The\,1
XML-Comment,1
Sine,1
(mat.IsAffine),1
smallest,1
(probably,1
\name="\tangent"\>The\,1
Determines,1
boxe,1
\name="\lookAt"\>The\,1
\[-1,\,1
3x3,1
different,1
\val1),\,1
re-aligning,1
incoming,1
Calculating,1
\float3.Cross(a-m,\,1
zero.</param>,1
vectors(start,1
\name="\vec2"\>Right\,1
\"\0.5\,1
<summary>Interpolate,1
parts,1
wrong,1
with:,1
mat.M32,1
float4.UnitW);,1
Quaternions,1
base,1
Create,1
0.5,1
\float4(0,\,1
\double4(vector.x,\,1
Contains,1
>>,1
*(int*)&x;,1
